"","WT","Mean_pp","Percentile_95","SLP","SLP_Mean_Diff","Number_of_Days","R01","P98Wet","P98WetAmount"
"1",0,4.25315797488764,23.9155522346496,101229.361172947,69.020812780238,8,0.301005304058221,79.3109947204589,130433.922302246
"2",1,6.47880210467097,34.8600006103516,101263.86806098,58.3740375974707,120,0.41935741403177,84.0899963378906,2957277.99755859
"3",2,3.84172932603557,22.2299995422363,101375.107289532,62.7255712672661,438,0.290625254046008,71.450318145747,6256220.67116547
"4",3,3.6826180641897,20.5799980163574,101329.38278469,57.4386210580443,146,0.289193960008629,72.5100021362305,2134987.78850555
"5",4,2.40438328013185,13.1700009822845,101059.57856565,29.723706201301,2,0.301077258336417,40.0715997314451,16156.8745117188
"6",5,4.91286579451825,28.2600002288818,101123.92478088,90.7960538061976,5,0.33972287323712,67.0500030517578,81214.3711090088
"7",6,6.656974947565,36.9599990844727,100993.782730055,63.1802506602464,71,0.390227885134912,84.6900024414062,1630200.33118439
"8",7,9.39798076888477,48.1199951171875,100775.589063935,70.9062221827108,111,0.450826427759942,96.629997253418,3255734.44332886
"9",8,5.74377959211926,31.5299987792969,101016.839860395,60.1088019086234,198,0.392920405070399,74.0099945068359,3946229.34062195
"10",9,3.66042125985956,21.5399971008301,101253.04208022,51.4357651748203,134,0.277341858611224,67.9799957275391,1704082.29263306
"11",10,NA,NA,NA,NA,0,NA,NA,NA
"12",11,5.53577346114001,31.4699993133545,101096.873384832,58.8451227900562,177,0.360287556939122,78.120002746582,3342753.82433319
"13",12,4.15535372460223,24.4199981689453,101367.273342396,61.5333068563001,75,0.295587078382194,73.1100006103516,1109850.47090912
"14",13,NA,NA,NA,NA,0,NA,NA,NA
"15",14,4.88878068608017,28.1099967956543,101101.339210528,55.2213130725203,316,0.33069834944953,76.0799942016602,5404762.19699097
"16",15,NA,NA,NA,NA,0,NA,NA,NA
"17",16,NA,NA,NA,NA,0,NA,NA,NA
"18",17,8.39222223284407,44.8199996948242,100906.576932643,59.931238834423,76,0.420422355382721,95.9099960327148,2121518.3134613
"19",18,NA,NA,NA,NA,0,NA,NA,NA
"20",19,3.80696300953319,21.0299987792969,101309.328393936,63.5326459203084,283,0.319485131362142,66.5099945068359,4171819.31567383
"21",20,5.11144911358614,28.2299995422363,101023.295492005,49.9216164154122,128,0.362923566567987,73.1699981689453,2396275.508461
"22",21,NA,NA,NA,NA,0,NA,NA,NA
"23",22,4.70160205876743,26.2199993133545,101094.795983122,55.8108101983772,269,0.343513163238464,72.5099945068359,4725630.66118622
"24",23,NA,NA,NA,NA,0,NA,NA,NA
"25",24,4.27365501111593,26.2800001144409,101093.923450096,57.5246479113915,187,0.28746992926823,73.2900009155273,2522110.05666351
"26",25,9.00927984215219,45.689998626709,100881.612551377,56.9303972157265,48,0.463591991831476,94.9199905395508,1480531.96500397
"27",26,5.31227221690603,28.8299980163574,101174.81865337,53.7267385354328,305,0.38240851021953,75.4799957275391,6158177.6835556
"28",27,3.04723254459377,17.6399993896484,101433.505169836,59.1464226906943,76,0.262261982821863,61.1099967956543,838186.521587372
"29",28,6.61736191959427,36.5400009155273,100883.491430235,71.5081696459429,54,0.388401579491584,81.3600006103516,1123580.22342682
"30",29,4.20192152772104,24.0300006866455,101381.227683255,60.1631808659867,110,0.305628132814515,73.3799897766113,1706627.74789429
"31",30,5.01232244166213,27.2099990844727,101187.88027485,66.3269147580243,123,0.372637250487467,74.010004119873,2373370.85579681
"32",31,5.93943955100334,31.439998626709,100983.487261903,59.941807791362,189,0.408426406164986,75.5699920654297,4052230.89892578
"33",32,6.36233434714256,36.3300003051758,101451.820157515,66.3756643210444,9,0.363883064018749,84.630597229004,181376.522583008
"34",33,3.83091070909859,21.2999992370605,101320.10112156,59.9207367800287,192,0.303590732631608,70.1399993896484,2896623.4850769
"35",34,3.79070443813736,23.0999984741211,101213.422030971,130.370729183574,1,0.292915587352494,67.6685972595215,12619.9318237305
"36",35,4.12158096796791,23.2199993133545,101452.445122252,59.0365915279598,226,0.313981180181154,73.1399917602539,3530482.71224213
"37",36,4.72385758121352,27.3899974822998,101095.067817189,59.3751852115654,354,0.313601019509076,78.6900024414062,6002607.69338226
"38",37,5.18217915260458,27.2399997711182,101118.025984377,59.7864758998649,236,0.394741692852449,73.3199920654297,4767203.26811218
"39",38,5.030386938837,29.0700016021729,101141.171806132,64.1309560980212,113,0.330287784364945,79.4700012207031,2051479.37828827
"40",39,3.93801777385517,23.2799987792969,101373.729773687,53.2005448559714,144,0.2782537610387,74.879997253418,2012979.2919693
"41",40,4.95023038058021,27.3899974822998,101181.401046962,57.8343364593784,305,0.372878595776031,71.2799987792969,5594021.1705246
"42",41,NA,NA,NA,NA,0,NA,NA,NA
"43",42,5.38816179356073,29.6999988555908,101164.403212211,57.9626631162295,466,0.3844393116177,72.7200012207031,8859489.64248657
"44",43,3.44019485311717,18.7800006866455,101405.223018694,59.5318732119222,432,0.304640517948976,64.2000045776367,5911529.32757568
"45",44,4.71643753185792,27.3299980163574,101138.385505597,64.6632681946294,316,0.317948259539212,77.9699935913086,5361220.21793365
"46",45,4.40414578942888,24.9899997711182,101240.299799782,65.8336785166004,294,0.319464548287964,76.1699981689453,4901183.08424377
"47",46,4.06262301187708,22.5599975585938,101275.224073197,63.9359957057148,201,0.316215886154524,71.9700012207031,3240905.99081421
"48",47,NA,NA,NA,NA,0,NA,NA,NA
"49",48,6.7020687061949,35.4300003051758,101050.601175109,33.6639572512577,2,0.406109946137083,77.8181997680664,42774.5919494629
"50",49,NA,NA,NA,NA,0,NA,NA,NA
